name,comm_cost,complexity,type
explored-338,0.2394870498748316,13,explored
explored-339,0.22109891520636782,19,explored
explored-340,0.35743428653957265,20,explored
explored-341,0.5499454393735157,12,explored
explored-342,0.3461679183516273,21,explored
explored-343,0.38099725592143285,22,explored
explored-344,0.4355412333911035,20,explored
explored-345,0.4969670710571925,9,explored
explored-346,0.22623002118236113,24,explored
explored-347,0.47420887091597674,18,explored
explored-348,0.15550982091276733,24,explored
explored-349,0.31574054015020225,20,explored
explored-350,0.5974870017331024,13,explored
explored-351,0.28840265742345483,13,explored
explored-352,0.5440065552987998,11,explored
explored-353,0.29051126516464487,14,explored
explored-354,0.24387396495282132,17,explored
explored-355,0.1990479973040633,25,explored
explored-356,0.3664157279029464,17,explored
explored-357,0.31825895436164087,32,explored
explored-358,0.5295279302265872,12,explored
explored-359,0.2733567623082356,19,explored
explored-360,0.306465434238398,24,explored
explored-361,0.5277176006162143,11,explored
explored-362,0.3588905738494128,12,explored
explored-363,0.3908446466397075,10,explored
explored-364,0.49127932633673543,17,explored
explored-365,0.5089483439245139,12,explored
explored-366,0.23866262276140982,26,explored
explored-367,0.27974557096090913,11,explored
explored-368,0.2485228512741513,18,explored
explored-369,0.32454145002888524,11,explored
explored-370,0.22996100519930696,17,explored
explored-371,0.22062150972462946,22,explored
explored-372,0.6085716348931255,13,explored
explored-373,0.3955284357147444,16,explored
explored-374,0.44258015597920297,14,explored
explored-375,0.4831263238975545,13,explored
explored-376,0.23290366839976906,29,explored
explored-377,0.4609751107259774,42,explored
explored-378,0.3935135037550551,18,explored
explored-379,0.28318168688619305,19,explored
explored-380,0.4465747159637976,8,explored
explored-381,0.6615756787983825,7,explored
explored-382,0.6152151935297516,10,explored
explored-383,0.26083188908145605,25,explored
explored-384,0.3860318778483858,18,explored
explored-385,0.6750012035432313,25,explored
explored-386,0.47841645805250665,15,explored
explored-387,0.22257124975929155,23,explored
explored-388,0.3282724340458312,17,explored
explored-389,0.3794771808203352,9,explored
explored-390,0.3794591276718662,14,explored
explored-391,0.3330565183901407,9,explored
explored-392,0.31984361961615004,16,explored
explored-393,0.42462710218884403,12,explored
explored-394,0.4611857307914501,13,explored
explored-395,0.28120185827074917,13,explored
explored-396,0.13696923743500888,21,explored
explored-397,0.5373083357404199,12,explored
explored-398,0.16674289107131401,28,explored
explored-399,0.33178678028114783,49,explored
explored-400,0.5783867706528019,5,explored
explored-401,0.2589543616406703,17,explored
explored-402,0.2877070094357791,21,explored
explored-403,0.41269497400346644,21,explored
explored-404,0.4264635085692279,11,explored
explored-405,0.37766464471403827,10,explored
explored-406,0.5176680146350858,13,explored
explored-407,0.18430659862635612,14,explored
explored-408,0.3162053084280122,12,explored
explored-409,0.20471668592335845,11,explored
explored-410,0.2845597438860006,30,explored
explored-411,0.5200389948006934,18,explored
explored-412,0.2865064750625844,12,explored
explored-413,0.32241117850953227,9,explored
explored-414,0.21560875216637787,14,explored
explored-415,0.538994800693241,6,explored
explored-416,0.32132437897169286,27,explored
explored-417,0.4521230502599656,13,explored
explored-418,0.6065797708453688,8,explored
explored-419,0.5528848931253612,16,explored
explored-420,0.4740335547852881,15,explored
explored-421,0.3535624879645678,21,explored
explored-422,0.27681494319275957,23,explored
explored-423,0.31280289171320386,26,explored
explored-424,0.3216348931253612,21,explored
explored-425,0.5093394954746776,20,explored
explored-426,0.29243693433468154,13,explored
explored-427,0.49369018390140584,31,explored
